HÑÄHÑU –.	ESPAÑOL ʼñadi vi pedir muchacha (para casarse con ella o para que se case con otro) ntʼadi s costumbre de andar pidiendo tʼadi s petición, solicitud, pedimento ʼyadi s pedidor.
Mä mo afi zu̱ngä ʼrato xudi.	Mi tío raspa a las seis de la mañana.
Ra agate geʼä ʼna ra do xi mähotho.	El ágata es una piedra hermosa.
Ya ja ra nsei pa ga agi ya ʼñusthe ga mpo̱ngatsʼothe.	Ya está lista la excavación para que entierre yo los tubos del drenaje.
Ra uähi hingi agi ra tʼabi, ho̱nse̱ xihni ra hai.	El gañán no sume el arado, apenas araña la tierra.
Ja pe̱ʼtsi hñäto mäpa dá agi mä dada.	Apenas se cumplen ocho días de que sepulté a mi papá.
Ya ndäpo ya bi ʼyagi ya ʼbai ga de̱thä.	Las hierbas crecieron más y ya taparon las plantas de maíz.
Ntsʼu̱tkʼani tatʼa je̱ya tʼo̱tʼe ʼna ra ngo di tse̱ti ndunthi ya pa ra zänä agosto.	Cada año en Ixmiquilpan hacen una fiesta grande el mes de agosto, que se prolonga por varios días.
Ra ahñoli tʼu̱tsi ha ra githe xa ntʼetʼi.	El ajonjolí que le echan al mole está tostado.
Dí ai ra dehe ha ra ju̱sdehe ko ʼna ra ntʼai.	Saco agua del pozo con un bote.
Ra daʼthi mänxui xi bi ai, po̱de ntsʼe̱di.	El enfermo se quejó mucho anoche, creo que está grave.
Tʼixu, ʼyai ra hñuni pa ga ñuni.	Hija, sirve la comida para que A.
Nzäntho ya fani di hñeni ga aba ha ya go̱ne.	Casi siempre los caballos se enferman de haba en el paladar.
Nzäntho tatʼi.	Ndäpa zänä ra abri.
Gaʼtho mäʼra ya jäʼi ya xa tʼumba ya hai; mä ga adi ʼnehe.	A todas las demás personas ya les han dotado de tierras; yo también voy a pedir.
Stá ma stá adi ra bojä ha ra ʼme̱sbojä ya nso̱ka dí to̱ʼmi haʼmu̱ dä tʼengi hñä.	He ido a solicitar dinero al banco, ya sólo espero que me resuelvan.
Mä zi ʼbotʼi ya adi ra zi ʼye.	Mi siembra ya necesita la lluvia.
Ra bätsi adi ra ʼba, ha otho.	El niño exige leche y no hay.
Ajuä (Ahuä̌) s.	Dios Päʼtse̱ Ajuä.
Dios; clamar a.	Dios.
ʼYo ndunthi ya jäʼi nguʼbu̱ akäte, nzäge ʼna ra tsʼähni xa ʼbatʼi.	Andan varias personas como acechando, tal vez es que se ha escapado un prófugo.
Mä ʼbe̱po geʼä akhñuni ha ra nzimxudi.	Mi cuñada es la que sirve la comida en el almuerzo.
Dí aki ra mbängmixi; ngeʼä tsikägi mä o̱ni.	Espío al gato montés porque se come mis gallinas.
Akntʼoxi (Akntʼǒxi) s.	Espía de la Cena.
Xa thʼumpi ra.	Akntʼoxi ʼna ra tso̱ to̱ge po ra ñuhyadi yaʼä ra ntʼoxi.
Mä dada aksei ha ra tsʼe ʼne umbabi ya jäʼi.	Mi papá saca pulque en la olla, y lo da a la gente.
Rá nda ra algodo ra mboi.	La semilla del algodón es prieta.
Rá alma ra zi ngo̱kʼei ya bí ʼbu̱huí.	Ajuä.
Rá alma ra ngo̱kʼei, xi ra hñu̱.	El cadáver del difunto pesa mucho.
Ua oʼtho ra alma nuni ra ʼño̱ho̱, hänja xi naʼmpi rá ʼbe̱hñä.	Creo que no tiene compasión aquel hombre, porque seguido maltrata a su esposa.
Nuʼbu̱ gi amañʼu̱ de geke go ma te gi thogi.	Si deseas un mal para mí, a tí te puede acontecer.
Dá ambi ra.	Xuua ha bí mpe̱fi, pe himbi ne bi xikägi.
Ra ndämfri aʼmi ra hai; ngeʼä ne dä ntuhnuí mänʼa.	La res escarba tierra porque quiere pelear con otra.
Ntsʼe̱ ra kati ha dí potʼi, ko ra ʼye aʼmi ra hai, ho̱nse̱ tsogi ra xido.	Donde siembro está muy inclinado, la lluvia causa erosión al terreno dejando puro tepetate.
Mä nänä geʼä bí ani ra hñuni ha ra ngo.	Mi mamá es la que está sirviendo la comida en la fiesta.
