Tsanas 4,1,peokin yoiya,primera lectura
Tsanas 4,2,bake ainbo,la niña
Tsanas 4,3,bake benbo,el niño
Tsanas 4,4,nato kirika tsanas janeya riki 4 baritiaya bakebo shinanxon axona,este libro tsanas ha sido elaborado pensando en los niños de cuatro años de edad
Tsanas 4,5,"tsanas riki maxkoshoko yoina, mari jisa kikin ishto itan koshi, jawen raniriki ranshintani kikin soi, jiwi kinimeran oxai, paon piai itan mesko yobinbo jawekiaxon banai, bake pikoketia jaki yoina itan koshonara bake chixoyamatani aniai ja riki tsanas","el tsanas es un animalito pequeño, parecido al añuje, muy veloz y fuerte, su pelo es amarillento y brillante; además, muy fino, duerme en el hueco de un árbol, come el fruto de pan del árbol,  además de otros frutos  y luego siembra sus semillas; también, cuando nace un bebé, el curandero puede hacer un ícaro de tsanas y así el bebé nunca tendrá diarrea y crecerá sano."
Tsanas 4,6,nato kirika riki axeamisbobetan tsinkixon aka,este libro se ha elaborado entre todos los docentes para que puedan informarse y guiarse tanto sus padres como sus compañeros de clase
Tsanas 4,7,mesko jawekibo jainoa oinax mia axetikopi,este libro puede ser utilizado por tus profesores como guía y
Tsanas 4,8,min anibaon itan mibe axeaibaonribi mia akinti atipanke,así
Tsanas 4,9,jaskaribiakin min axeamisninribi mia  akintibo jake jainxon bena shinanbo min bibotikopi,abrir discusiones para ampliar tus conocimientos
Tsanas 4,10,non axemeranxonbi kirika jakon akin onantanan mia aniti jake noimisti itan min jema akinti shinanya jakonax itan jakoni ninkakanani wetsabobetan jatikopi,"teniendo conocimiento de nuestros usos y costumbres, tú puedes crecer amando a tu cultura y a tu pueblo y tener una buena relación y práctica de interculturalidad con los demás."
Tsanas 4,11,"nato kirikameranra jake mesko jawekibaon mia axetibo jonii iananbi itan tsiniananbi wishatibo, sikatibo, imaa yoitibo, winotabo ninkati, rabitibo, bewatibo, ribojantibo itan wetsaboribi","este libro tiene muchos contenidos, los cuales tú puedes aprender como jugando: a escribir, a colorear, a delinear, a escuchar el pasado, a declamar, a cantar, a dibujar, entre otras cosas."
Tsanas 4,12,"raroshamankin itan raya, rayashamankin nato kirika awe, mia onan inon minra atipanke raenanyananbi axewe, mina riki nato kirika koiranwe","con muchas ganas y alegría, aprende de este libro, para que aumenten tus conocimientos dialogando y aprendiendo; este libro es tuyo: cuídalo."
Tsanas 4,13,yomeranan onanananti,pescando y conociéndonos
Tsanas 4,14,nokon jema,mi comunidad
Tsanas 4,15,axeamisnin jaskaaxon bakebo betan tee atibo yoiya,para que los niños resuelvan la tarea con el profesor
Tsanas 4,16,nato tee anoxon westiora yosibetan yoyo iwe,"para realizar esta tarea, primero conversa con un anciano de la comunidad"
Tsanas 4,17,bakebo betan joi seneanwe yosiba merati kanoxon,primero organízate con los niños antes de realizar la visita al anciano
Tsanas 4,18,bakebo jemaki ika bewa bewakinwe minbi jee pikoxon nato bewa jato bewakinwe,crea una letra dedicada a tu comunidad y ponle música y cántenla
Tsanas 4,19,pikonon bokanwe non jemanko mesko jawekibo jema jayata oinon bokanwe,salgamos del aula y veamos qué cosas existen dentro de la comunidad
Tsanas 4,20,"bakebo iwewe jema onamakin, jainxon yosin yoiyai joibo jato ninkakinwe","saca a los niños fuera del aula para que conozcan a su comunidad; después, haz que todos escuchen lo que narra el anciano."
Tsanas 4,21,yosin bakebo jaskatax jema peokoni yoiyai,el anciano cuenta como se ha creado la comunidad
Tsanas 4,22,axeti xobonko joxon jato yokabo awe:,"al llegar al aula, pregúntales a los niños:"
Tsanas 4,23,¿jaweki noa yosin yoiya?,¿qué nos contó el anciano?
Tsanas 4,24,¿jawe janeki ika yosin jema?,¿cómo se llama la comunidad del anciano?
Tsanas 4,25,¿jawe janerin min jeman jane?,¿cómo se llama tu comunidad?
Tsanas 4,26,¿jawekeskamein min jema peokotai bena ika iki?,¿cómo se formó tu comunidad al principio?
Tsanas 4,27,¿ramaki non jema jawekeska iki?,¿cómo está actualmente nuestra comunidad?
Tsanas 4,28,¿jawekopimein moatian ikatiai jawekibo moa yamake?,¿por qué lo que había antes ya no existe?
