En el principio , Dios creó los cielos y la tierra .	Only Paraguayan Guarani (gug) copied here.
Ahora bien , resultaba que la tierra se hallaba sin forma y desierta y había oscuridad sobre la superficie de [ la ] profundidad acuosa ; y la fuerza activa de Dios se movía de un lado a otro sobre la superficie de las aguas .	Data available for other varieties: gui, gun, guw
El libro de la historia de Jesucristo , hijo de David , hijo de Abrahán :	Ko'ãva hína umi Jesucristo ypykue . Ha'e David ha Abraham ñemoñare vaekue .
Abraham fue el padre de Isaac . Isaac fue el padre de Jacob . Jacob fue el padre de Judá y de sus hermanos .	Abraham , Isaac ru vaekue ; Isaac , Jacob ru ha Jacob katu Judá ha tyvýra kuéra ru .
Judá fue el padre de Fares y de Zera ( la madre fue Tamar ) . Fares fue el padre de Hezrón . Hezrón fue el padre de Ram .	Judá , Fares ha Zérah ru , ha isy kuéra Tamar . Fares , Hesrón ru ; Hesrón , Aram ru ;
Aram engendró a Aminadab , Aminadab a Naasón , y Naasón a Salmón ;	Aram , Aminadab ru ; Aminadab , Nahasón ru ; Nahasón , Salmón ru ;
Salmón llegó a ser padre de Boaz mediante Rahab ; Boaz llegó a ser padre de Obed mediante Rut ; Obed llegó a ser padre de Jesé ;	Salmón , Booz ru , ha Booz sy Rahab . Booz , Obed ru ha isy katu Rut . Obed , Jesé ru ,
Isaí fue padre del rey David . Y David fue padre de Salomón , cuya madre Betsabé había sido mujer de Urías .	ha Jesé , mburuvicha guasu David ru . David , Salomón ru ha isy katu Urías rembirekore .
Salomón engendró a Roboam , Roboam a Abías , y Abías a Asa ;	Salomón , Roboam ru vaekue ; Roboam , Abías ru ; Abías , Asá ru ;
Asá fue el padre de Josafat ; Josafat lo fue de Jorán ; Jorán , de Ozías ;	Asá , Josafat ru ; Josafat , Joram ru ; Joram , Ozías ru ;
Uzías engendró a Jotam , Jotam a Acaz , y Acaz a Ezequías ;	Ozías , Jotam ru ; Jotam , Ahaz ru ha Ahaz , Ezequías ru .
Ezequías fue padre de Manasés , éste lo fue de Amón y éste de Josías .	Ezequías , Manasés ru ; Manasés , Amón ru ; Amón , Josías ru .
y Josías , padre de Jeconías y de sus hermanos en tiempos de la deportación a Babilonia .	Josías , Jeconías ha tyvýra kuéra ru . Upérõ Israelgua kuéra ojereraha vaekue tembiguái ramo Babilóniape .
Después de la deportación a Babilonia , Jeconías fue padre de Salatiel , y Salatiel de Zorobabel ;	Upe rire , ou vaekue Salatiel , Jeconías ra'y . Ha'e Zorobabel ru vaekue .
Zorobabel , padre de Abiud ; Abiud , padre de Eliaquín ; Eliaquín , padre de Azor ;	Zorobabel katu Abihud ru ; Abihud , Eliaquim ru ; Eliaquim , Azor ru .
Azor engendró a Sadoc , Sadoc a Aquín , y Aquín a Eliud .	Azor , Sadoc ru ; Sadoc , Aquim ru ; Aquim , Eliud ru ;
Eliud llegó a ser padre de Eleazar ; Eleazar llegó a ser padre de Mattán ; Mattán llegó a ser padre de Jacob ;	Eliud , Eleazar ru ; Eleazar , Matán ru ; Matán , Jacob ru .
Jacob fue el padre de José , esposo de María . María dio a luz a Jesús , quien es llamado el Mesías .	Jacob , José ru ; ha José María ména . María hína , Jesús hérava Cristo , sy .
De modo que desde Abrahán a David hubo catorce generaciones ; otras catorce desde David a la deportación a Babilonia , y otras catorce desde la deportación hasta el Mesías .	Upéicha jajuhu oĩha 14 ñemoñare Abraham guive David peve ; ha 14 , David guive Israelgua Babilóniape ojereraha ramo guare peve ; ha 14 avei upe guive , ou peve Cristo .
El nacimiento de Jesucristo fue como sigue : estando Su madre María comprometida para casarse con José , antes de que se llevara a cabo el matrimonio , se halló que había concebido por obra del Espíritu Santo .	Jesucristo ou ramo guare kóicha vaekue : Isy María ome'ẽma iñe'ẽ omenda haguã Josére . Ha oiko mboyve oñondive , María ojejuhu hye guasuha Espíritu Santo rupi .
Y José su marido , siendo un hombre justo y no queriendo difamarla , quiso abandonarla en secreto .	José katu , kuimba'e ijoheipyréva , nomoherakuã vaiséi chupe . Oheja reise mo'ãnte chupe , avave oikuaa'ỹre .
Ya había pensado hacerlo así , cuando un ángel del Señor se le apareció en sueños y le dijo : « José , descendiente de David , no tengas miedo de tomar a María por esposa , porque su hijo lo ha concebido por el poder del Espíritu Santo .	Ko'ã mba'e ombojere aja iñakãme , ojehechauka chupe iképe Ñandejára remimbou , ha he'i chupe : — José , David ñemoñare , ani rekyhyje reraha haguã ne rembirekorã Maríape . Pe mitã ha'e oguerekótava niko Espíritu Santo pu'aka rupi ou .
Y tendrá un hijo y lo llamarás Jesús , porque él salvará a su pueblo de sus pecados » .	María imembýta ha rembohérata pe mitã Jesús . Ha'e hína upe oguenohẽtava hetã guápe hembiapo vaikuégui .
Todo esto sucedió para que se cumpliera lo que el Señor había dicho por medio del profeta :	Ko'ã mba'e ojehu oiko haguã hekoitépe upe Ñandejára he'i vaekue maranduhára rupi :
“ ¡ Miren ! La virgen quedará encinta y dará a luz un hijo , y le pondrán por nombre Emmanuel ” , que , traducido , significa : “ Con Nosotros Está Dios ” .	“ Kuñataĩ imarã'ỹva hye guasútaha imemby kuimba'éta . Oñembohérata Emanuel , ( he'iséva “ Tupã ñane ndive ” ) . ”
Cuando José despertó del sueño , hizo lo que el ángel del Señor le había mandado y recibió a su mujer ,	José opáyvo , ojapo Ñandejára remimbou he'i haguéicha chupe , ha ogueraha hembirekorã Maríape .
y la conservó virgen hasta que dio a luz un hijo ; y le puso por nombre Jesús .	Oiko'ỹre oñondive imemby , ha José ombohéra Jesús .
Después de nacer Jesús en Belén ( Casa del Pan ) de Judea , en tiempos del rey Herodes ( el Grande ) , unos sabios ( magos ) del oriente llegaron a Jerusalén ( Ciudad de Paz ) , preguntando :	Jesús ou ypy vaekue táva Belénpe , oĩva Judea yvýpe , mburuvicha guasu Herodes oikovépe ramo guare . Upérõ , oguahẽ Jerusalénpe , kuarahy resẽ guio , karai kuéra oikuaáva umi mba'e ojehútava mbyja kuérare oma'ẽvo .
diciendo : “ ¿ Dónde está el que nació rey de los judíos ? Porque vimos su estrella [ cuando estábamos ] en el Oriente , y hemos venido a rendirle homenaje ” .	Ha oporandu hikuái upépe : — Moõpa oime pe mitã ou vaekue Israelgua kuéra ruvicha guasurã? Rohecha niko kuarahy resẽme mbyja chupe omohenondéva , ha roju romomba'e guasúvo chupe .
Cuando el rey Herodes oyó eso , se perturbó profundamente igual que todos en Jerusalén .	Mburuvicha guasu Herodes oikuaávo upéva ipy'a tarovaite , ha Jerusalengua avei .
y , habiendo reunido a todos los sacerdotes principales y a los escribas del pueblo , se puso a inquirir de ellos dónde había de nacer el Cristo .	Upémarõ , mburuvicha guasu ohenoika pa'i ruvicha kuérape , Moisés rembiapoukapy mbo'eha kuérape , ha oporandu chupe kuéra mamópa ou vaerã ra'e pe Mesías .
— En Belén de Judea — le respondieron — , porque esto es lo que ha escrito el profeta :	Ha'e kuéra he'i chupe : — Táva Belénpe , oĩva Judea yvýpe . Maranduhára péicha omoĩ vaekue kuatiápe he'i ramo guare :
' Y tu , Belen , tierra de Juda , De ningun modo eres la mas pequeña entre losprincipes de Juda ; Porque de ti saldra un Gobernante Que pastorearaa Mi pueblo Israel . ' "	“ Ha nde Belénreiméva Judá yvýpe , na ne michĩvéimba'eveichave ramotáva kuéra apytépeupe tetã megua . Nde hegui osẽtapeteĩ mburuvicha guasuoisãmbyhýtavache retã Israel . ”
Entonces Herodes mandó llamar secretamente a los astrólogos y averiguó cuidadosamente de ellos el tiempo en que la estrella había aparecido ;	Upérõ , Herodes ohenoika ha'eñoháme umi karai arandúpe . Ha oporandu chupe kuéra araka'etépa ohecha ra'e hikuái pe mbyja .
Entonces les dijo : « Vayan a Belén y busquen al niño con esmero . Cuando lo encuentren , vuelvan y díganme dónde está para que yo también vaya y lo adore » .	Upéi omondo chupe kuéra Belénpe he'ívo : — Tapeho ha peikuaa porã moõpa oime pe mitã . Pejuhu rire , peju che momarandu , che avei aha haguã amomba'e guasu chupe .
Después de esa reunión , los sabios siguieron su camino , y la estrella que habían visto en el oriente los guió hasta Belén . Iba delante de ellos y se detuvo sobre el lugar donde estaba el niño .	Mburuvicha guasu oñe'ẽmbami rire , umi karai oje'ói . Ha pe mbyja ohecha vaekue hikuái kuarahy resẽvo , oho henonderã nguéra , opyta peve pe mitã oĩha ári .
Al ver la estrella , se regocijaron mucho .	Umi karai arandu tuicha ovy'a ohechávo pe mbyja .
